canonical_patch_id,region,mapping_status,raw_geometry_status,tif_binding_status,grounding_status,crs_candidate,allowed_claim,forbidden_claim,next_required_action,forbidden_next_action,patch_bound_validated,gates
CUR_01,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_02,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_03,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_04,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_05,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_06,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_07,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_08,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
CUR_09,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
CUR_10,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
CUR_11,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
CUR_12,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
CUR_13,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
CUR_14,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
PET_01,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_02,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_03,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_04,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_05,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_06,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_07,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_08,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_09,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_10,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_11,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_12,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_13,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_14,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_15,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_16,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_17,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_18,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_19,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_20,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_21,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_22,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_23,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_24,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_25,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_26,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:4674,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
PET_27,Petrópolis,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31983,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_01,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_02,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_03,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_04,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_05,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_06,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_07,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_08,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_09,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_10,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_11,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_12,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_13,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_14,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_15,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_16,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_17,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
REC_18,Recife,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_NAMING_UNRESOLVED,UNRESOLVED_REC_EXT_BG_NAMING,UNKNOWN_pending_local_download,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Await PE3D metadata extraction; determine TIF naming convention,Spatial ops; infer sentinel TIF match; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
